,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team
16239,FIFA World Cup qualification,2017-09-05,Colombia,1,1,Brazil
16257,FIFA World Cup qualification,2017-10-05,Bolivia,0,0,Brazil
16297,FIFA World Cup qualification,2017-10-10,Brazil,3,0,Chile
16320,Friendly,2017-11-10,Japan,1,3,Brazil
16341,Friendly,2017-11-14,England,0,0,Brazil
16397,Friendly,2018-03-23,Russia,0,3,Brazil
16416,Friendly,2018-03-27,Germany,0,1,Brazil
16455,Friendly,2018-06-03,Croatia,0,2,Brazil
16477,Friendly,2018-06-10,Austria,0,3,Brazil
16495,Friendly,2018-09-07,United States,0,2,Brazil
16517,Friendly,2018-09-12,Brazil,5,0,El Salvador
16530,Friendly,2018-10-12,Saudi Arabia,0,2,Brazil
16555,Superclasico de las Americas,2018-10-16,Argentina,0,1,Brazil
16568,Friendly,2018-11-16,Brazil,1,0,Uruguay
16591,Friendly,2018-11-20,Brazil,1,0,Cameroon
16656,Friendly,2019-03-23,Brazil,1,1,Panama
16674,Friendly,2019-03-26,Czech Republic,1,3,Brazil
16687,Friendly,2019-06-05,Brazil,2,0,Qatar
16707,Friendly,2019-06-09,Brazil,7,0,Honduras
16726,Copa America,2019-06-14,Brazil,3,0,Bolivia
16738,Copa America,2019-06-18,Brazil,0,0,Venezuela
16747,Copa America,2019-06-22,Brazil,5,0,Peru
16761,Copa America,2019-06-27,Brazil,0,0,Paraguay
16775,Copa America,2019-07-02,Brazil,2,0,Argentina
16782,Copa America,2019-07-07,Brazil,3,1,Peru
16801,Friendly,2019-09-06,Brazil,2,2,Colombia
16825,Friendly,2019-09-10,Brazil,0,1,Peru
16852,Friendly,2019-10-10,Brazil,1,1,Senegal
16876,Friendly,2019-10-13,Brazil,1,1,Nigeria
16920,Superclasico de las Americas,2019-11-15,Brazil,0,1,Argentina
16952,Friendly,2019-11-19,Brazil,3,0,South Korea
17010,FIFA World Cup qualification,2020-10-09,Brazil,5,0,Bolivia
17033,FIFA World Cup qualification,2020-10-13,Peru,2,4,Brazil
17059,FIFA World Cup qualification,2020-11-13,Brazil,1,0,Venezuela
17083,FIFA World Cup qualification,2020-11-17,Uruguay,0,2,Brazil
17174,FIFA World Cup qualification,2021-06-04,Brazil,2,0,Ecuador
17203,FIFA World Cup qualification,2021-06-08,Paraguay,0,2,Brazil
17222,Copa America,2021-06-13,Brazil,3,0,Venezuela
17239,Copa America,2021-06-17,Brazil,4,0,Peru
17261,Copa America,2021-06-23,Brazil,2,1,Colombia
17266,Copa America,2021-06-27,Brazil,1,1,Ecuador
17275,Copa America,2021-07-02,Brazil,1,0,Chile
17282,Copa America,2021-07-05,Brazil,1,0,Peru
17288,Copa America,2021-07-10,Brazil,0,1,Argentina
17339,FIFA World Cup qualification,2021-09-02,Chile,0,1,Brazil
17392,FIFA World Cup qualification,2021-09-09,Brazil,2,0,Peru
17404,FIFA World Cup qualification,2021-10-07,Venezuela,1,3,Brazil
17427,FIFA World Cup qualification,2021-10-10,Colombia,0,0,Brazil
17455,FIFA World Cup qualification,2021-10-14,Brazil,4,1,Uruguay
17469,FIFA World Cup qualification,2021-11-11,Brazil,1,0,Colombia
17510,FIFA World Cup qualification,2021-11-16,Argentina,0,0,Brazil
17563,FIFA World Cup qualification,2022-01-27,Ecuador,1,1,Brazil
17579,FIFA World Cup qualification,2022-02-01,Brazil,4,0,Paraguay
17593,FIFA World Cup qualification,2022-03-24,Brazil,4,0,Chile
17628,FIFA World Cup qualification,2022-03-29,Bolivia,0,4,Brazil
17659,Friendly,2022-06-02,South Korea,1,5,Brazil
17681,Friendly,2022-06-06,Japan,0,1,Brazil
17734,Friendly,2022-09-23,Brazil,3,0,Ghana
17755,Friendly,2022-09-27,Brazil,5,1,Tunisia
2,World Cup,1930-07-14,Yugoslavia,2,1,Brazil
11,World Cup,1930-07-20,Brazil,4,0,Bolivia
23,World Cup,1934-05-27,Spain,3,1,Brazil
40,World Cup,1938-06-05,Brazil,6,5,Poland
44,World Cup,1938-06-12,Brazil,1,1,Czechoslovakia
48,World Cup,1938-06-14,Brazil,2,1,Czechoslovakia
50,World Cup,1938-06-16,Italy,2,1,Brazil
51,World Cup,1938-06-19,Brazil,4,2,Sweden
53,World Cup,1950-06-24,Brazil,4,0,Mexico
58,World Cup,1950-06-28,Brazil,2,2,Switzerland
63,World Cup,1950-07-01,Brazil,2,0,Yugoslavia
70,World Cup,1950-07-09,Brazil,7,1,Sweden
71,World Cup,1950-07-13,Brazil,6,1,Spain
74,World Cup,1950-07-16,Uruguay,2,1,Brazil
77,World Cup,1954-06-16,Brazil,5,0,Mexico
85,World Cup,1954-06-19,Brazil,1,1,Yugoslavia
96,World Cup,1954-06-27,Hungary,4,2,Brazil
107,World Cup,1958-06-08,Brazil,3,0,Austria
109,World Cup,1958-06-11,Brazil,0,0,England
118,World Cup,1958-06-15,Brazil,2,0,Russia
128,World Cup,1958-06-19,Brazil,1,0,Wales
133,World Cup,1958-06-24,Brazil,5,2,France
135,World Cup,1958-06-29,Sweden,2,5,Brazil
137,World Cup,1962-05-30,Brazil,2,0,Mexico
145,World Cup,1962-06-02,Brazil,0,0,Czechoslovakia
153,World Cup,1962-06-06,Brazil,2,1,Spain
161,World Cup,1962-06-10,Brazil,3,1,England
165,World Cup,1962-06-13,Chile,2,4,Brazil
167,World Cup,1962-06-17,Brazil,3,1,Czechoslovakia
170,World Cup,1966-07-12,Brazil,2,0,Bulgaria
178,World Cup,1966-07-15,Hungary,3,1,Brazil
186,World Cup,1966-07-19,Portugal,3,1,Brazil
206,World Cup,1970-06-03,Brazil,4,1,Czechoslovakia
214,World Cup,1970-06-07,Brazil,1,0,England
218,World Cup,1970-06-10,Brazil,3,2,Romania
226,World Cup,1970-06-14,Brazil,4,2,Peru
228,World Cup,1970-06-17,Brazil,3,1,Uruguay
231,World Cup,1970-06-21,Brazil,4,1,Italy
232,World Cup,1974-06-13,Brazil,0,0,Yugoslavia
241,World Cup,1974-06-18,Scotland,0,0,Brazil
250,World Cup,1974-06-22,DR Congo,0,3,Brazil
257,World Cup,1974-06-26,Brazil,1,0,East Germany
260,World Cup,1974-06-30,Argentina,1,2,Brazil
265,World Cup,1974-07-03,Netherlands,2,0,Brazil
268,World Cup,1974-07-06,Brazil,0,1,Poland
274,World Cup,1978-06-03,Sweden,1,1,Brazil
282,World Cup,1978-06-07,Brazil,0,0,Spain
290,World Cup,1978-06-11,Brazil,1,0,Austria
296,World Cup,1978-06-14,Brazil,3,0,Peru
301,World Cup,1978-06-18,Argentina,0,0,Brazil
304,World Cup,1978-06-21,Brazil,3,1,Poland
306,World Cup,1978-06-24,Brazil,2,1,Italy
310,World Cup,1982-06-14,Brazil,2,1,Russia
322,World Cup,1982-06-18,Brazil,4,1,Scotland
337,World Cup,1982-06-23,Brazil,4,0,New Zealand
350,World Cup,1982-07-02,Argentina,1,3,Brazil
354,World Cup,1982-07-05,Italy,3,2,Brazil
361,World Cup,1986-06-01,Spain,0,1,Brazil
376,World Cup,1986-06-06,Brazil,1,0,Algeria
392,World Cup,1986-06-12,Northern Ireland,0,3,Brazil
398,World Cup,1986-06-16,Brazil,4,0,Poland
404,World Cup,1986-06-21,Brazil,1,1,France
417,World Cup,1990-06-10,Brazil,2,1,Sweden
430,World Cup,1990-06-16,Brazil,1,0,Costa Rica
442,World Cup,1990-06-20,Brazil,1,0,Scotland
450,World Cup,1990-06-24,Brazil,0,1,Argentina
472,World Cup,1994-06-20,Brazil,2,0,Russia
482,World Cup,1994-06-24,Brazil,3,0,Cameroon
494,World Cup,1994-06-28,Brazil,1,1,Sweden
505,World Cup,1994-07-04,United States,0,1,Brazil
509,World Cup,1994-07-09,Netherlands,2,3,Brazil
513,World Cup,1994-07-13,Sweden,0,1,Brazil
515,World Cup,1994-07-17,Brazil,0,0,Italy
516,World Cup,1998-06-10,Brazil,2,1,Scotland
533,World Cup,1998-06-16,Brazil,3,0,Morocco
551,World Cup,1998-06-23,Brazil,1,2,Norway
565,World Cup,1998-06-27,Brazil,4,1,Chile
573,World Cup,1998-07-03,Brazil,3,2,Denmark
576,World Cup,1998-07-07,Brazil,1,1,Netherlands
579,World Cup,1998-07-12,France,3,0,Brazil
589,World Cup,2002-06-03,Brazil,2,1,Turkey
605,World Cup,2002-06-08,Brazil,4,0,China
620,World Cup,2002-06-13,Costa Rica,2,5,Brazil
633,World Cup,2002-06-17,Brazil,2,0,Belgium
636,World Cup,2002-06-21,England,1,2,Brazil
641,World Cup,2002-06-26,Brazil,1,0,Turkey
643,World Cup,2002-06-30,Germany,0,2,Brazil
657,World Cup,2006-06-13,Brazil,1,0,Croatia
671,World Cup,2006-06-18,Brazil,2,0,Australia
686,World Cup,2006-06-22,Japan,1,4,Brazil
698,World Cup,2006-06-27,Brazil,3,0,Ghana
703,World Cup,2006-07-01,Brazil,0,1,France
721,World Cup,2010-06-15,Brazil,2,1,North Korea
736,World Cup,2010-06-20,Brazil,3,1,Ivory Coast
752,World Cup,2010-06-25,Portugal,0,0,Brazil
761,World Cup,2010-06-28,Brazil,3,0,Chile
764,World Cup,2010-07-02,Netherlands,2,1,Brazil
772,World Cup,2014-06-12,Brazil,3,1,Croatia
787,World Cup,2014-06-17,Brazil,0,0,Mexico
806,World Cup,2014-06-23,Brazil,4,1,Cameroon
820,World Cup,2014-06-28,Brazil,1,1,Chile
829,World Cup,2014-07-04,Brazil,2,1,Colombia
832,World Cup,2014-07-08,Brazil,1,7,Germany
834,World Cup,2014-07-12,Brazil,0,3,Netherlands
846,World Cup,2018-06-17,Brazil,1,1,Switzerland
859,World Cup,2018-06-22,Brazil,2,0,Costa Rica
878,World Cup,2018-06-27,Serbia,0,2,Brazil
888,World Cup,2018-07-02,Brazil,2,0,Mexico
893,World Cup,2018-07-06,Brazil,1,2,Belgium
